timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
4785     华阳股份  600348 2013-03-01       8.04 2021-08-16        8.05     1.0  1.000000e+00         0.124378       2060       2261
1745     中信证券  600030 2015-04-23      30.47 2023-10-20       21.53  -894.0 -6.710000e+02       -29.340335       2049       2900
12622    航天工程  603698 2015-06-12      42.35 2023-10-20       13.37 -2898.0 -2.898000e+03       -68.429752       2031         90
12882    莱克电气  603355 2015-06-15      46.67 2023-10-20       24.29 -2238.0 -2.238000e+03       -47.953718       2030         23
5863     城市传媒  600229 2015-06-12      29.73 2023-10-20        6.80 -2293.0 -2.247000e+03       -77.127481       2028       3500
9799     汉王科技  002362 2015-06-18      44.20 2023-10-20       21.87 -2233.0 -1.722000e+03       -50.520362       2027       1279
3352     依顿电子  603328 2015-06-12      16.09 2023-10-20        7.54  -855.0 -8.550000e+02       -53.138595       2027        233
15070     飞亚达  000026 2015-06-25      19.14 2023-10-20       10.69  -845.0 -7.420000e+02       -44.148380       2023       5256
14284    金陵药业  000919 2015-06-25      21.37 2023-10-20        7.72 -1365.0 -1.239000e+03       -63.874591       2023       3728
14650    长青股份  002391 2015-06-25      13.35 2023-10-20        6.38  -697.0 -5.440000e+02       -52.209738       2023       1250
6015     大商股份  600694 2015-06-25      58.80 2023-10-20       16.98 -4182.0 -3.679000e+03       -71.122449       2023       5116
13342    赛象科技  002337 2015-06-25      15.38 2023-10-20        6.06  -932.0 -8.440000e+02       -60.598179       2023       1271
10165    津投城开  600322 2015-06-25       8.76 2023-10-20        2.33  -643.0 -5.430000e+02       -73.401826       2023       3283
11411    申能股份  600642 2015-06-25       9.43 2023-10-20        6.04  -339.0 -2.770000e+02       -35.949099       2023       5333
7165     山推股份  000680 2015-06-25      10.22 2023-10-20        4.86  -536.0 -4.700000e+02       -52.446184       2023       4368
2110     中国西电  601179 2015-06-25      10.91 2023-10-20        4.55  -636.0 -5.560000e+02       -58.295142       2023       1296
6391     太原重工  600169 2015-06-25      10.34 2023-10-20        2.27  -807.0 -6.910000e+02       -78.046422       2023       3991
9920     江苏舜天  600287 2015-06-25      16.74 2023-10-20        5.04 -1170.0 -1.091000e+03       -69.892473       2023       3497
8135     悦达投资  600805 2015-06-25      17.37 2023-10-20        4.15 -1322.0 -1.118000e+03       -76.108233       2023       5105
